연번,Station 스테이션/성명,위치,Latitude,Longitude,광역시도코드,광역시도명,시군구코드,시군구명,법정동코드,법정동명,행정동코드,행정동명,거치대
199,노은1동주민센터,대전광역시 유성구 노은동 546,36.3682342,127.3184583,30,대전광역시,30200,유성구,3020011900,노은동,3020054600,노은1동,12
200,지족역 2번출구(건너편),대전광역시 유성구 지족동 840-2,36.3830082,127.3191051,30,대전광역시,30200,유성구,3020012000,지족동,3020054700,노은2동,13
201,노은3동주민센터,대전광역시 유성구 지족동 1024-2,36.3831766,127.3011674,30,대전광역시,30200,유성구,3020012000,지족동,3020054800,노은3동,13
202,도안초등학교,대전광역시 서구 도안동 1364,36.3197193,127.3460168,30,대전광역시,30170,서구,3017011500,도안동,3017059000,가수원동,11
203,죽동 금성백조,대전광역시 유성구 죽동 108-4,36.3688891,127.3368187,30,대전광역시,30200,유성구,3020012100,죽동,3020054000,온천2동,13
204,낭월 오투그란데(108동 맞은편),대전광역시 동구 낭월동 215-2,36.285146,127.4658412,30,대전광역시,30110,동구,3011013600,낭월동,3011074000,산내동,14
205,대성삼거리,대전광역시 동구 대성동 200-4,36.295248,127.4603726,30,대전광역시,30110,동구,3011013900,대성동,3011074000,산내동,14
206,대전대 후문,대전광역시 동구 용운동 631,36.3345661,127.4568,30,대전광역시,30110,동구,3011010900,용운동,3011056000,용운동,15
207,가양초등학교,대전광역시 동구 가양동 288-6,36.3434388,127.4426872,30,대전광역시,30110,동구,3011011400,가양동,3011062000,가양1동,15
208,회덕농협(건너편),대전광역시 대덕구 읍내동 573-4,36.3787201,127.4271298,30,대전광역시,30230,대덕구,3023010300,읍내동,3023052500,회덕동,15
209,동부평생교육원,대전광역시 대덕구 법동 440-1,36.3742388,127.4283663,30,대전광역시,30230,대덕구,3023010800,법동,3023061000,법2동,15
210,읍내동우편취급국,대전광역시 대덕구 읍내 215-5,36.381447,127.430582,30,대전광역시,30230,대덕구,3023010300,읍내동,3023052500,회덕동,12
211,석봉문화센터,대전광역시 대덕구 석봉동 184-1,36.4471343,127.42648,30,대전광역시,30230,대덕구,3023011100,석봉동,3023056000,석봉동,15
212,대전광역시 대덕구보건소네거리(자연애마트),대전광역시 대덕구 덕암동 12-1,36.4437655,127.4249833,30,대전광역시,30230,대덕구,3023011500,덕암동,3023057000,덕암동,13
213,송림네거리,대전광역시 유성구 하기동 516,36.3872892,127.3205402,30,대전광역시,30200,유성구,3020013200,하기동,3020054700,노은2동,14
214,외삼네거리(603동),대전광역시 유성구 반석동 613,36.3943049,127.3090152,30,대전광역시,30200,유성구,3020013900,반석동,3020054800,노은3동,15
