대여스테이션,반납스테이션,count,위도_대여,경도_대여,위도_반납,경도_반납
19,33,51,36.3515604,127.3887852,36.3581627,127.361835
19,42,69,36.3515604,127.3887852,36.3535057,127.3677212
19,49,56,36.3515604,127.3887852,36.3474022,127.3898661
19,110,61,36.3515604,127.3887852,36.3377237,127.3921483
19,186,70,36.3515604,127.3887852,36.3674851,127.3880222
20,30,50,36.351248,127.3920276,36.3635561,127.3740015
21,31,136,36.3737625,127.3590307,36.3617639,127.3574454
21,33,117,36.3737625,127.3590307,36.3581627,127.361835
21,56,55,36.3737625,127.3590307,36.3617967,127.3450565
21,105,95,36.3737625,127.3590307,36.36935,127.3644226
21,160,59,36.3737625,127.3590307,36.3853867,127.353672
22,32,60,36.36935,127.3644226,36.3584437,127.3542548
22,33,101,36.36935,127.3644226,36.3581627,127.361835
22,56,69,36.36935,127.3644226,36.3617967,127.3450565
23,2,52,36.3655538,127.3642106,36.3749012,127.3916831
23,30,56,36.3655538,127.3642106,36.3635561,127.3740015
23,55,61,36.3655538,127.3642106,36.3625121,127.3440365
23,56,82,36.3655538,127.3642106,36.3617967,127.3450565
23,150,51,36.3655538,127.3642106,36.3035003,127.3494685
24,4,181,36.3777468,127.3698633,36.3679468,127.3795192
24,29,143,36.3777468,127.3698633,36.366808,127.3719841
25,31,80,36.3747973,127.3666563,36.3617639,127.3574454
25,33,63,36.3747973,127.3666563,36.3581627,127.361835
25,160,74,36.3747973,127.3666563,36.3853867,127.353672
28,33,54,36.3786874,127.3915265,36.3581627,127.361835
29,8,132,36.366808,127.3719841,36.3612664,127.3902838
29,12,54,36.366808,127.3719841,36.3583025,127.3817429
29,14,99,36.366808,127.3719841,36.3555198,127.3790396
29,17,75,36.366808,127.3719841,36.352308,127.3785493
29,19,76,36.366808,127.3719841,36.3515604,127.3887852
29,24,174,36.366808,127.3719841,36.3777468,127.3698633
29,31,65,36.366808,127.3719841,36.3617639,127.3574454
29,32,81,36.366808,127.3719841,36.3584437,127.3542548
29,33,95,36.366808,127.3719841,36.3581627,127.361835
29,252,89,36.366808,127.3719841,36.3589332,127.386781
30,3,88,36.3635561,127.3740015,36.3674851,127.3880222
30,13,102,36.3635561,127.3740015,36.3584888,127.3941852
30,16,57,36.3635561,127.3740015,36.3534118,127.3999901
30,19,65,36.3635561,127.3740015,36.3515604,127.3887852
30,31,64,36.3635561,127.3740015,36.3617639,127.3574454
30,33,83,36.3635561,127.3740015,36.3581627,127.361835
30,46,55,36.3635561,127.3740015,36.3470359,127.377212
30,47,60,36.3635561,127.3740015,36.3486933,127.3825854
30,158,74,36.3635561,127.3740015,36.3840252,127.3682266
31,2,95,36.3617639,127.3574454,36.3749012,127.3916831
31,3,149,36.3617639,127.3574454,36.3674851,127.3880222
31,4,78,36.3617639,127.3574454,36.3679468,127.3795192
31,6,75,36.3617639,127.3574454,36.3616171,127.3756483
31,21,93,36.3617639,127.3574454,36.3737625,127.3590307
31,28,57,36.3617639,127.3574454,36.3786874,127.3915265
31,29,68,36.3617639,127.3574454,36.366808,127.3719841
31,30,67,36.3617639,127.3574454,36.3635561,127.3740015
31,32,64,36.3617639,127.3574454,36.3584437,127.3542548
31,54,84,36.3617639,127.3574454,36.3647782,127.3387212
31,56,60,36.3617639,127.3574454,36.3617967,127.3450565
31,57,94,36.3617639,127.3574454,36.3565711,127.3419092
31,59,89,36.3617639,127.3574454,36.3542559,127.3412636
31,181,58,36.3617639,127.3574454,36.3969564,127.4045899
31,186,170,36.3617639,127.3574454,36.3674851,127.3880222
31,252,55,36.3617639,127.3574454,36.3589332,127.386781
32,3,97,36.3584437,127.3542548,36.3674851,127.3880222
32,17,54,36.3584437,127.3542548,36.352308,127.3785493
32,22,75,36.3584437,127.3542548,36.36935,127.3644226
32,31,63,36.3584437,127.3542548,36.3617639,127.3574454
32,43,59,36.3584437,127.3542548,36.3540661,127.374375
32,54,92,36.3584437,127.3542548,36.3647782,127.3387212
32,56,106,36.3584437,127.3542548,36.3617967,127.3450565
32,57,53,36.3584437,127.3542548,36.3565711,127.3419092
32,59,109,36.3584437,127.3542548,36.3542559,127.3412636
32,60,60,36.3584437,127.3542548,36.3532446,127.3417278
32,68,86,36.3584437,127.3542548,36.3419007,127.3446963
32,70,100,36.3584437,127.3542548,36.3381493,127.3375895
32,108,66,36.3584437,127.3542548,36.3306288,127.3376588
32,186,114,36.3584437,127.3542548,36.3674851,127.3880222
32,203,101,36.3584437,127.3542548,36.3688891,127.3368187
33,3,90,36.3581627,127.361835,36.3674851,127.3880222
33,10,59,36.3581627,127.361835,36.3701661,127.3811643
33,14,100,36.3581627,127.361835,36.3555198,127.3790396
33,17,50,36.3581627,127.361835,36.352308,127.3785493
33,19,69,36.3581627,127.361835,36.3515604,127.3887852
33,21,120,36.3581627,127.361835,36.3737625,127.3590307
33,22,188,36.3581627,127.361835,36.36935,127.3644226
33,25,53,36.3581627,127.361835,36.3747973,127.3666563
33,28,58,36.3581627,127.361835,36.3786874,127.3915265
33,29,97,36.3581627,127.361835,36.366808,127.3719841
33,30,95,36.3581627,127.361835,36.3635561,127.3740015
33,36,61,36.3581627,127.361835,36.3504567,127.3848187
33,43,69,36.3581627,127.361835,36.3540661,127.374375
33,54,67,36.3581627,127.361835,36.3647782,127.3387212
33,55,73,36.3581627,127.361835,36.3625121,127.3440365
33,56,255,36.3581627,127.361835,36.3617967,127.3450565
33,57,60,36.3581627,127.361835,36.3565711,127.3419092
