대여수,대여시간_합,이동거리_합,이동거리_평균,이동거리_최솟값,이동거리_중앙값,이동거리_최댓값
869.0,2272792.0,1900650.0,2187.16915995397,10.0,1810.0,5630.0
1068.0,2255605.0,2105370.0,1971.3202247191011,10.0,1605.0,5610.0
1005.0,1943457.0,1940020.0,1930.3681592039802,10.0,1550.0,5620.0
1825.0,4423364.0,3852330.0,2110.8657534246577,10.0,1830.0,5630.0
667.0,1121123.0,1146830.0,1719.3853073463267,10.0,1440.0,5440.0
1408.0,3159712.0,2838400.0,2015.909090909091,10.0,1730.0,5620.0
2671.0,7773497.0,6090050.0,2280.063646574317,10.0,2150.0,5630.0
2708.0,8461853.0,6544780.0,2416.831610044313,10.0,2310.0,5630.0
1800.0,4385186.0,3867360.0,2148.5333333333333,10.0,1860.0,5630.0
2218.0,5689112.0,4790310.0,2159.7430117222725,10.0,1885.0,5610.0
2541.0,6606775.0,5677080.0,2234.1912632821723,10.0,1930.0,5630.0
723.0,1347153.0,1392670.0,1926.237897648686,10.0,1480.0,5590.0
1045.0,2147670.0,2142100.0,2049.8564593301435,10.0,1740.0,5630.0
1986.0,5372517.0,4527740.0,2279.828801611279,10.0,2090.0,5610.0
2835.0,8760548.0,6612150.0,2332.328042328042,10.0,2180.0,5630.0
2385.0,6015031.0,5284350.0,2215.6603773584907,10.0,1960.0,5620.0
2475.0,6561953.0,5586350.0,2257.1111111111113,10.0,2040.0,5620.0
2180.0,5263809.0,4588670.0,2104.894495412844,10.0,1865.0,5620.0
2326.0,5978771.0,5026790.0,2161.1306964746345,10.0,1910.0,5630.0
2472.0,6094373.0,5193980.0,2101.124595469256,10.0,1845.0,5630.0
2465.0,7147285.0,5223790.0,2119.184584178499,10.0,1880.0,5630.0
2777.0,8481849.0,6467550.0,2328.9701116312567,10.0,2140.0,5630.0
2135.0,4960763.0,4424810.0,2072.5105386416863,10.0,1760.0,5600.0
2215.0,5170212.0,4644880.0,2097.011286681716,10.0,1810.0,5600.0
1967.0,4221703.0,3960500.0,2013.4722928317235,10.0,1690.0,5620.0
2131.0,4561652.0,4455910.0,2090.9948381041763,10.0,1770.0,5630.0
2003.0,4379849.0,4092450.0,2043.160259610584,10.0,1720.0,5630.0
