출구본부명,출구지사명,출구영업소코드,출구영업소명,처리일자,처리일시분초,TCS차종구분코드,TCS차종구분명,근무일자,근무번호,확인순번,TCS본부명,지사명,영업소코드,영업소명,발급일시,발급시분초
전북본부,무주,114,남대전,20210606,215751,1,1종,20210606,3402,407,대전충남본부,대전,152,유성,20210606,213800
전북본부,무주,114,남대전,20210606,220403,1,1종,20210606,3402,412,대전충남본부,대전,152,유성,20210606,214700
전북본부,무주,114,남대전,20210606,220648,1,1종,20210606,3402,414,대전충남본부,대전,152,유성,20210606,214900
전북본부,무주,114,남대전,20210606,221628,1,1종,20210606,3402,421,대전충남본부,대전,152,유성,20210606,215000
전북본부,무주,114,남대전,20210606,12020,1,1종,20210606,3501,12,대전충남본부,대전,152,유성,20210606,10300
전북본부,무주,114,남대전,20210606,21255,1,1종,20210606,3501,14,대전충남본부,대전,152,유성,20210606,15200
전북본부,무주,114,남대전,20210606,45500,1,1종,20210606,3501,23,대전충남본부,대전,115,대전,20210606,44200
전북본부,무주,114,남대전,20210606,50357,6,6종,20210606,3501,25,대전충남본부,대전,152,유성,20210606,44100
전북본부,무주,114,남대전,20210606,51428,1,1종,20210606,3501,27,대전충남본부,대전,113,신탄진,20210606,45700
전북본부,무주,114,남대전,20210606,53753,1,1종,20210606,3501,30,대전충남본부,대전,152,유성,20210606,52000
전북본부,무주,114,남대전,20210606,53923,1,1종,20210606,3501,31,대전충남본부,대전,151,북대전,20210606,52300
전북본부,무주,114,남대전,20210606,54620,1,1종,20210606,3501,33,대전충남본부,대전,113,신탄진,20210606,52700
전북본부,무주,114,남대전,20210606,55239,1,1종,20210606,3501,34,대전충남본부,대전,113,신탄진,20210606,53400
전북본부,무주,114,남대전,20210606,61844,1,1종,20210606,3501,38,대전충남본부,대전,113,신탄진,20210606,60200
전북본부,무주,114,남대전,20210606,112821,1,1종,20210606,3502,2,대전충남본부,대전,151,북대전,20210606,110900
전북본부,무주,114,남대전,20210606,113026,1,1종,20210606,3502,6,대전충남본부,대전,115,대전,20210606,111700
전북본부,무주,114,남대전,20210606,113522,1,1종,20210606,3502,14,대전충남본부,대전,152,유성,20210606,111500
전북본부,무주,114,남대전,20210606,114445,1,1종,20210606,3502,24,대전충남본부,대전,112,남청주,20210606,112000
전북본부,무주,114,남대전,20210606,114547,1,1종,20210606,3502,26,대전충남본부,대전,115,대전,20210606,113300
전북본부,무주,114,남대전,20210606,115310,1,1종,20210606,3502,30,대전충남본부,대전,115,대전,20210606,114100
전북본부,무주,114,남대전,20210606,115412,1,1종,20210606,3502,31,대전충남본부,대전,152,유성,20210606,113600
전북본부,무주,114,남대전,20210606,115516,1,1종,20210606,3502,32,대전충남본부,대전,152,유성,20210606,113600
전북본부,무주,114,남대전,20210606,132214,1,1종,20210606,3502,35,대전충남본부,대전,115,대전,20210606,131100
