번호,대여소명,거치대_수,구,주소,위도,경도,구역,인터넷,CCTV,거치대_종류,구조
139,서대전네거리역 3번출구,13,중구,오류동 152-5,36.3222,127.411,4구역,\N,2,기둥,일자형
140,대전시민대학 정문,16,중구,선화동 287-2,36.3276,127.421,5구역,\N,\N,기둥,일자형
141,대전세무서,13,중구,선화동 184-1,36.3309,127.419,5구역,\N,\N,기둥,일자형
142,선화참좋은아파트(유안타증권),13,중구,선화동 83-1,36.3315,127.422,5구역,\N,\N,기둥,일자형
143,중앙로역 3번출구,13,중구,대흥동 198-1,36.3278,127.426,5구역,\N,2,기둥,일자형
144,타슈 관제센터,11,유성구,원촌동 76-1,36.389,127.41,6구역,\N,\N,기둥,꺽인형
145,도안 호반베르디움(201동),13,유성구,봉명동 972,36.349,127.348,3구역,\N,\N,평면,십일자
146,도안 호반베르디움(101동),13,서구,가수원동 394,36.3119,127.347,3구역,\N,\N,평면,십일자
147,도안 계룡리슈빌(1704동),13,서구,도안동 1370,36.3164,127.345,3구역,\N,\N,평면,일자형
148,도안 금성백조(701동),13,유성구,봉명동 1038-1,36.3482,127.345,3구역,\N,\N,평면,십일자
149,도안 트리풀시티5단지(509동),13,유성구,상대동 495,36.3457,127.339,3구역,\N,\N,평면,일자형
150,도안 우미린(1806동),13,서구,가수원동 1363,36.3124,127.35,3구역,\N,\N,평면,꺽인형
151,우송대 정문(건너편),14,동구,자양동 58-12,36.337,127.448,6구역,\N,2,평면,일자형
152,대전역(대한통운 맞은편),12,동구,정동 15-23,36.3322,127.432,5구역,\N,2,평면,일자형
153,대동역 4번출구,13,동구,대동 148-112 ,36.3296,127.442,5구역,\N,\N,평면,일자형
154,한남오거리,13,대덕구,오정동 731,36.348,127.416,1구역,\N,\N,평면,일자형
155,오정동 운암빌딩,12,대덕구,오정동 61-13 ,36.3585,127.411,1구역,\N,\N,평면,일자형
156,중촌네거리(목동우체국 방면),13,중구,중촌동 398-14,36.336,127.415,5구역,\N,\N,평면,일자형
157,중촌초등학교(건너편),12,중구,중촌동 462,36.3407,127.411,5구역,\N,2,평면,일자형
158,전자통신연구원,12,유성구,가정동 160-2 ,36.3838,127.367,7구역,\N,\N,평면,일자형
159,연구단지네거리,13,유성구,도룡동 393-2 ,36.3855,127.377,7구역,\N,\N,평면,일자형
160,연구단지운동장(건너편),11,유성구,신성동 108-2,36.3855,127.354,7구역,\N,\N,평면,일자형
161,연구단지 KT_G(건너편),12,유성구,신성동 산19-3 ,36.3847,127.349,7구역,\N,\N,평면,일자형
162,송강체육관,13,유성구,송강동 200-2 ,36.4316,127.387,7구역,\N,\N,평면,일자형
163,송강초등학교,13,유성구,송강동 199,36.4331,127.384,7구역,\N,\N,평면,일자형
164,롯데마트(관평점),12,유성구,관평동 1286,36.4277,127.387,7구역,\N,2,평면,일자형
165,배울네거리,13,유성구,관평동 912,36.422,127.388,7구역,\N,\N,평면,십일자
166,인동네거리,11,동구,인동 116-18,36.3219,127.438,5구역,\N,\N,평면,일자형
167,원동네거리,9,동구,원동 36-1,36.3269,127.435,5구역,\N,\N,평면,일자형
168,성남네거리,10,동구,성남동 50-1,36.341,127.436,6구역,\N,\N,평면,일자형
169,삼성네거리,13,동구,삼성동 112-1,36.3364,127.43,5구역,\N,\N,평면,일자형
170,대전고오거리,11,중구,대흥동 320-2,36.3228,127.424,5구역,\N,2,평면,일자형
171,대흥네거리,11,중구,대흥동 173-5,36.3237,127.429,5구역,\N,\N,평면,일자형
172,부사네거리,10,중구,부사동 129-5,36.3133,127.434,5구역,\N,\N,평면,일자형
173,무지개아파트,12,서구,월평동 298,36.3579,127.377,2구역,\N,\N,평면,일자형
174,가수원네거리(전통시장 입구),11,서구,가수원동 764-11,36.305,127.353,3구역,\N,\N,평면,일자형
175,건양대네거리,13,서구,관저동 999,36.3024,127.34,3구역,\N,\N,평면,일자형
176,관저2동주민센터,11,서구,관저동 1104,36.2993,127.335,3구역,\N,2,평면,일자형
177,관저1동주민센터,11,서구,관저동 999-3,36.3038,127.337,3구역,\N,\N,평면,일자형
178,노은역 3번출구,11,유성구,지족동 901-5,36.3744,127.318,7구역,\N,\N,평면,일자형
179,반석역 1번출구,12,유성구,반석동 694,36.3912,127.315,7구역,\N,2,평면,일자형
180,전민동주민센터(건너편),10,유성구,전민동 304-5,36.3995,127.402,7구역,\N,\N,평면,일자형
181,엑스포아파트4단지(건너편),10,유성구,전민동 385-8,36.3966,127.405,7구역,\N,\N,평면,일자형
182,한밭대 입구,15,유성구,덕명동 16-1,36.3499,127.297,3구역,\N,1,평면,일자형
183,현충원역 3번출구,15,유성구,구암동 424-67,36.3595,127.321,3구역,\N,\N,평면,일자형
184,오정우체국(건너편),11,대덕구,오정동 432-4,36.3526,127.416,1구역,\N,\N,평면,일자형
185,비래동 산림조합,12,대덕구,비래동 123-7,36.3551,127.446,6구역,\N,\N,평면,일자형
186,한밭수목원2,20,서구,만년동 396,36.369,127.388,1구역,\N,1,평면,일자형
187,양우건설 내안애,13,유성구,원신흥동 485-3,36.3443,127.347,3구역,\N,\N,평면,일자형
188,구봉초등학교(건너편),12,서구,관저동 1147,36.2988,127.33,3구역,\N,\N,평면,일자형
189,샘물타운아파트(301동),12,유성구,원내동 349,36.2998,127.32,3구역,\N,\N,평면,일자형
190,교촌제이파크(101동),12,유성구,교촌동 617,36.3038,127.318,3구역,\N,\N,평면,일자형
191,신흥마을아파트(102동),12,동구,신흥동 212,36.3212,127.445,5구역,\N,\N,평면,일자형
192,보문산오거리,12,중구,대사동 118-9,36.3176,127.426,5구역,\N,\N,평면,일자형
193,석교동주민센터,12,중구,석교동 12-7,36.3097,127.442,5구역,\N,\N,평면,일자형
194,호동우체국(건너편),10,중구,호동 10-14,36.3048,127.449,5구역,\N,\N,평면,일자형
195,한밭도서관,11,중구,문화동 141,36.3102,127.408,4구역,\N,1,평면,일자형
196,대덕문화원,12,대덕구,읍내동 324-5,36.3741,127.42,6구역,\N,\N,평면,일자형
197,농도원네거리,12,서구,도마동 65-56,36.3202,127.378,4구역,\N,\N,평면,일자형
198,도마네거리,12,서구,도마동 172-13,36.3138,127.38,4구역,\N,\N,평면,일자형
199,노은1동주민센터,12,유성구,노은동 546,36.3682,127.318,7구역,\N,\N,평면,일자형
200,지족역 2번출구(건너편),13,유성구,지족동 840-2,36.3837,127.32,7구역,\N,\N,평면,일자형
201,노은3동주민센터,13,유성구,지족동 1024-2,36.3868,127.308,7구역,\N,\N,평면,일자형
202,도안초등학교,11,서구,도안동 1364,36.3205,127.344,3구역,\N,\N,평면,일자형
203,죽동 금성백조,13,유성구,죽동 108-4,36.3688,127.337,7구역,\N,\N,평면,일자형
204,낭월 오투그란데(108동 맞은편),14,동구,낭월동 215-2,36.285,127.466,5구역,\N,\N,평면,일자형
205,대성삼거리,14,동구,대성동 200-4,36.2948,127.461,5구역,\N,\N,평면,일자형
206,대전대 후문,15,동구,용운동 631,36.3352,127.456,6구역,\N,\N,평면,일자형
207,가양초등학교,15,동구,가양동 288-6,36.3435,127.442,6구역,\N,\N,평면,일자형
208,회덕농협(건너편),15,대덕구,읍내동 573-4,36.379,127.427,6구역,\N,\N,평면,일자형
209,동부평생교육원,15,대덕구,법동 440-1,36.3744,127.428,6구역,무선,\N,평면,일자형
210,읍내동우편취급국,12,대덕구,읍내 215-5,36.3784,127.421,6구역,\N,\N,평면,일자형
211,석봉문화센터,15,대덕구,석봉동 184-1,36.4474,127.426,7구역,무선,\N,평면,일자형
212,대덕구보건소네거리(드림마트),13,대덕구,덕암동 12-1,36.4441,127.426,7구역,\N,\N,평면,일자형
213,송림네거리,14,유성구,하기동 516,36.3878,127.322,7구역,\N,\N,평면,일자형
214,외삼네거리(603동),15,유성구,반석동 613,36.3953,127.31,7구역,\N,\N,평면,일자형
215,지족초등학교,15,유성구,지족동 853,36.3797,127.318,7구역,\N,\N,평면,일자형
